@relation miml_birds.arff_geometric_transformation

@attribute id {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282}
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute BRCR {0,1}
@attribute PAWR {0,1}
@attribute PSFL {0,1}
@attribute RBNU {0,1}
@attribute DEJU {0,1}
@attribute OSFL {0,1}
@attribute HETH {0,1}
@attribute CBCH {0,1}
@attribute VATH {0,1}
@attribute HEWA {0,1}
@attribute SWTH {0,1}
@attribute HAFL {0,1}
@attribute WETA {0,1}
@attribute BHGB {0,1}
@attribute GCKI {0,1}
@attribute WAVI {0,1}
@attribute MGWA {0,1}
@attribute STJA {0,1}
@attribute CONI {0,1}

@data
24,0.968917,0.956604,0.913044,0.459573,0.002393,0.071486,-0.000045,0.002487,0.000019,0.010155,0.956863,0.48718,28.163202,10.531899,207,251.5,44.5,76.5,3103,214.5,16.317026,0.755654,0.145627,0.101446,0.112558,0.038417,0.03966,0.098471,0.048308,0.049305,0.105836,0.028717,0.024256,0.033151,0.09742,0.02264,0.033558,0.048203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0.972687,0.966937,0.51205,0.504169,0.0016,0.076568,-0.000004,0.000016,0.000006,0.010817,0.513725,0.492857,25.210474,8.961633,108,151.5,43.5,32.5,965,136,19.733988,0.666074,0.113612,0.052867,0.115989,0.059236,0.070285,0.025639,0,0.006277,0.057377,0.126776,0.137747,0.110421,0.017859,0.019008,0.03271,0.054199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0.979668,0.97686,0.645364,0.490507,0.003021,0.064671,-0.000003,0.002113,0.00002,0.008354,0.656863,0.361973,35.262549,13.912304,134.5,194.5,60,49.5,2251.5,290.5,42.002401,0.742695,0.085274,0.089336,0.063503,0.036925,0.063046,0.040709,0.027288,0.077742,0.127474,0.072189,0.031384,0.090874,0.063936,0.046297,0.027612,0.056413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,0.966286,0.947669,0.432605,0.509981,0.004651,0.069482,-0.000027,-0.000868,0.000065,0.009977,0.417647,0.634541,24.577872,9.793279,93,127.5,50.5,64.5,1673.5,284,48.99366,0.610688,0.087426,0.07538,0.095794,0.053316,0.056553,0.065092,0.046131,0.071817,0.098134,0.103137,0.101594,0.053386,0.037794,0.064193,0.053857,0.11053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29,0.960381,0.975443,0.643444,0.466683,0.007037,0.059731,-0.000687,0.003077,0.000297,0.008446,0.633334,0.416261,28.295516,11.777376,144.5,185.5,74.5,123,5541.5,562,59.411694,0.574199,0.134704,0.093012,0.079428,0.077407,0.061677,0.044954,0.108714,0.054557,0.090206,0.069995,0.047521,0.043698,0.076528,0.033309,0.033286,0.075406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0.967555,0.966193,0.512511,0.524384,0.00112,0.07376,-0.000005,-0.0032,0.000003,0.010807,0.511765,0.649948,24.595384,9.252771,112,147,35,32,733.5,121.5,20.160361,0.653922,0.063051,0.075088,0.101054,0.103887,0.068952,0.026761,0.010917,0.004042,0.049391,0.076623,0.180865,0.104446,0.052548,0.070575,0,0.011802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0.944964,0.958568,0.585394,0.535011,0.017929,0.066369,0.000917,-0.003079,0.001291,0.00962,0.605882,0.622217,28.983776,14.844714,135,159,98.5,199,17082,932,92.443693,0.669205,0.11373,0.083666,0.035906,0.131809,0.157539,0.081142,0.033237,0.049985,0.112083,0.026433,0.030969,0.083387,0.124857,0.059179,0.045455,0.043756,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0.950136,0.952425,0.597581,0.488368,0.002568,0.072549,-0.000033,0.000493,0.000024,0.010561,0.639215,0.456322,22.917565,8.59551,128.5,171.5,43,51,1812.5,318.5,56.694889,0.704479,0.116484,0.048016,0.032389,0.082506,0.094233,0.050005,0.03998,0.056757,0.110329,0.045337,0.023256,0.13403,0.112847,0.03323,0.019231,0.131092,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,0.961202,0.948943,0.382587,0.487394,0.004584,0.062435,-0.000083,0.001506,0.000084,0.008131,0.372549,0.519063,26.126308,10.936259,80.5,122.5,56,31,1310,185.5,34.2094,0.663889,0.131364,0.127969,0.044633,0.062383,0.079091,0.08734,0.048331,0.058798,0.070423,0.070157,0.117251,0.099119,0.113637,0.043692,0.050317,0.07325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,0.972528,0.938357,0.47586,0.503453,0.00214,0.070355,-0.000003,-0.001789,0.000013,0.010569,0.486275,0.532197,25.92581,10.206996,101,142,45.5,24,1043,125,22.694779,0.650033,0.135183,0.094669,0.037825,0.077181,0.061624,0.026163,0.077236,0.062359,0.071758,0.08709,0.09354,0.079272,0.055182,0.021277,0.030656,0.066965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0.937198,0.951176,0.418072,0.483403,0.001769,0.078955,-0.000032,0.003021,0.00001,0.011814,0.431373,0.326923,25.174263,12.789331,96,118,33,33,608.5,134,36.755953,0.640351,0.04266,0.051559,0.023479,0.06353,0.186887,0.121739,0.059952,0.039501,0.033483,0.021045,0.098131,0.084112,0.219802,0.123016,0.049161,0.118466,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38,0.961194,0.963241,0.841812,0.487794,0.002437,0.069955,-0.000067,0.002124,0.000024,0.009716,0.882353,0.417294,26.568987,9.993426,186.5,232.5,46,42,1263.5,232,42.925217,0.644081,0.073351,0.087425,0.067206,0.080006,0.055022,0.079863,0.027389,0.04399,0.073453,0.054839,0.035792,0.147273,0.052352,0.027491,0.042222,0.052331,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0.966187,0.955629,0.495963,0.393797,0.014907,0.057831,0.002607,0.004948,0.001398,0.008355,0.454902,0.316216,44.345006,21.688865,84.5,190.5,106,48,3987.5,320.5,33.715651,0.638692,0.110721,0.040007,0.061659,0.061984,0.107946,0.061979,0.050791,0.038054,0.075054,0.088444,0.068778,0.032716,0.089757,0.029803,0.031324,0.061342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,0.940623,0.979245,0.883456,0.47661,0.000351,0.077558,0,0.002591,0,0.010803,0.880392,0.39903,24.645437,11.376832,214.5,236.5,22,52.5,897.5,149.5,25.775334,0.804642,0.020098,0.030147,0.042402,0.087495,0.194057,0.094068,0.011262,0.005392,0.009777,0.003854,0.001226,0.2402,0.19429,0.043627,0.028133,0.029902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0.958128,0.911214,0.735635,0.514988,0.00476,0.073725,0.000058,-0.000309,0.000087,0.011424,0.737255,0.61611,28.505096,14.228489,167.5,202,59,31,832.5,190.5,41.857797,0.621061,0.185605,0.08712,0.051348,0.041806,0.103551,0.060651,0.044716,0.090655,0.225792,0.073171,0.066038,0.072447,0.112426,0.057693,0.04363,0.091194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,0.961972,0.935695,0.669341,0.48773,0.010342,0.068637,0.000345,0.003366,0.000535,0.010306,0.676471,0.426191,26.419494,10.682189,157.5,178,94,234,18180.5,1448,116.80372,0.658035,0.159779,0.138265,0.154639,0.056701,0.06875,0.054745,0.05625,0.103503,0.126507,0.068616,0.046297,0.103798,0.073283,0.060291,0.043155,0.080573,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
50,0.958118,0.95466,0.669879,0.513292,0.005437,0.070314,0.000157,0.001489,0.000125,0.010378,0.682353,0.614389,27.229759,13.660105,156,183,62.5,91,4728.5,407,37.668356,0.696987,0.054115,0.052257,0.085516,0.083483,0.165422,0.158973,0.040817,0.051471,0.066063,0.024211,0.044684,0.130869,0.087139,0.056101,0.126743,0.088133,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,0.965392,0.957832,0.654897,0.474536,0.009212,0.062155,-0.000162,-0.000191,0.00035,0.008845,0.658824,0.432367,28.086912,13.894097,151.5,180,80.5,76,4295,490.5,62.983216,0.65369,0.148919,0.073196,0.099623,0.056597,0.067242,0.100496,0.080586,0.070385,0.093453,0.055734,0.079462,0.090888,0.08231,0.090997,0.053789,0.115146,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,0.965576,0.954035,0.712295,0.499434,0.00909,0.068656,-0.000422,-0.002712,0.000352,0.011134,0.719608,0.461259,26.166172,12.526466,163.5,194.5,83,236.5,16159,1472,136.185692,0.640365,0.168119,0.127425,0.063338,0.054968,0.076268,0.058162,0.091058,0.065348,0.088393,0.088497,0.070957,0.11898,0.094835,0.033654,0.034965,0.101027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.957538,0.928489,0.592589,0.534758,0.002538,0.072363,-0.000006,0.001275,0.000025,0.009989,0.588236,0.364224,24.435519,8.62811,137,162,46,35,1076,174.5,29.426122,0.683168,0.147901,0.088614,0.049554,0.089859,0.067606,0.053667,0.063404,0.044655,0.084137,0.075134,0.040404,0.05443,0.099525,0.053719,0.037329,0.086777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.979459,0.983063,0.820879,0.508788,0.002842,0.069008,-0.000022,0.000406,0.000017,0.009575,0.815686,0.507937,24.109646,9.231862,181,236,55,64,2426,296,36.115417,0.689205,0.05812,0.051282,0.05641,0.052991,0.094017,0.049573,0.030769,0.02735,0.05641,0.039316,0.049573,0.080342,0.123077,0.075214,0.102564,0.052991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,0.919069,0.941055,0.979368,0.552817,0.000191,0.078509,-0.000001,-0.002602,0,0.011715,0.976471,0.588235,24.8894,9.268487,242,255,13,18,217,33,5.018433,0.92735,0.02,0.12,0.1,0.27,0.2,0,0,0.02,0.09,0,0.01,0,0.16,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0.94573,0.947561,0.601696,0.486595,0.001213,0.070871,0.000001,0.001704,0.000005,0.010724,0.627451,0.491072,23.542063,8.989077,138.5,170,32,30.5,980.5,130.5,19.003584,0.801438,0.097236,0.043715,0.026379,0.084096,0.101395,0.112256,0.041967,0.045235,0.103303,0.055684,0.02381,0.082354,0.149002,0.112391,0.019185,0.039283,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
62,0.933109,0.948166,0.967839,0.500707,0.000286,0.074098,-0.000001,0.001119,0,0.010695,0.964706,0.475,24.766453,9.191473,238,253.5,16.5,22,331.5,52,11.858589,0.876378,0.057019,0.03075,0.048192,0.084109,0.173175,0.254122,0.066372,0.016303,0.054559,0.01634,0.014535,0.022124,0.106542,0.058912,0.050062,0.070221,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
63,0.945313,0.933938,0.729012,0.464717,0.002847,0.069528,0.000085,0.005678,0.000042,0.012305,0.723529,0.39881,25.689752,10.281539,170.5,196.5,49.5,53.5,1684,296.5,50.846032,0.65443,0.133762,0.09435,0.079474,0.062817,0.093957,0.094303,0.058462,0.064114,0.122888,0.129845,0.085756,0.068808,0.042106,0.035715,0.063158,0.090261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.872561,0.970705,0.363027,0.513237,0.000084,0.07574,0,0.000741,0,0.010499,0.364706,0.371429,20.54369,9.674087,88,97,9,36,309,87,24.495146,0.953704,0.011429,0.011429,0.005714,0.062857,0.388571,0.017143,0,0.005714,0.017143,0,0,0.045714,0.4,0.017143,0.017143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,0.926861,0.987519,0.662487,0.463262,0.000587,0.073433,0.00001,0.002506,0.000002,0.010125,0.654902,0.340976,24.210059,13.110543,159,183,25,96,1521,255,49.074314,0.730445,0.060833,0.023189,0.027302,0.081405,0.291346,0.053595,0.004094,0.005384,0.006764,0.044067,0.046039,0.136157,0.251952,0.009899,0.003924,0.019764,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
67,0.962141,0.955986,0.638008,0.482364,0.003367,0.061881,-0.000067,0.002828,0.000041,0.008887,0.627451,0.350109,26.303445,10.461112,143,183,48,50.5,1834,243.5,35.185794,0.601475,0.131517,0.081032,0.054708,0.023117,0.065017,0.070981,0.105805,0.048687,0.086218,0.053232,0.06259,0.07848,0.048818,0.04161,0.046214,0.09978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,0.968804,0.94585,0.512718,0.510166,0.004077,0.069635,-0.000218,0.000611,0.000072,0.010111,0.505883,0.546053,24.291704,8.69426,113,149,54.5,62.5,1580.5,275.5,47.694284,0.707906,0.118629,0.160755,0.083684,0.053363,0.062726,0.03125,0.046748,0.072652,0.130957,0.063257,0.091346,0.064843,0.054054,0.054054,0.082126,0.103306,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
71,0.931802,0.970458,0.58027,0.520013,0.001624,0.073763,-0.000032,0.000458,0.000013,0.01168,0.580393,0.400656,23.468413,10.516277,140,156,38,70.5,1524,249,41.248638,0.592311,0.023785,0.014927,0.046875,0.091975,0.24721,0.130139,0.027344,0.01767,0.010862,0.012787,0.012936,0.107212,0.229309,0.088546,0.020325,0.01977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.962007,0.938869,0.395064,0.502336,0.001839,0.0734,0.000014,0.00296,0.000011,0.010147,0.398039,0.511408,24.326582,9.117828,85,120,40,37,1147.5,138,30.625,0.587927,0.076279,0.147728,0.087838,0.049205,0.096438,0.108696,0.060372,0.126353,0.07801,0.090679,0.056075,0.088907,0.111553,0.086303,0.096571,0.085041,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
74,0.932146,0.950837,0.451982,0.495496,0.000532,0.066093,-0.000006,0.00134,0.000001,0.009292,0.466667,0.472223,24.987693,11.456706,105,125.5,21.5,27.5,433,93.5,20.460029,0.720595,0.035473,0.008584,0.024194,0.06715,0.129994,0.170266,0.0625,0.125819,0.016453,0.015162,0.048387,0.110663,0.11265,0.132769,0.050676,0.125,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
78,0.946054,0.945486,0.635456,0.497165,0.001211,0.070097,-0.000025,0.004902,0.000005,0.011136,0.635294,0.526738,26.923884,16.309314,150,172.5,30,107.5,1932.5,260.5,34.775913,0.685773,0.136084,0.071681,0.051205,0.039039,0.183182,0.036846,0.058334,0.071023,0.092972,0.089269,0.045834,0.086193,0.224509,0.058726,0.03268,0.104955,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,0.943585,0.955812,0.648599,0.509898,0.000659,0.070568,-0.000002,0.00071,0.000001,0.010257,0.643137,0.467949,23.152749,9.521065,155,176,22.5,102,1587.5,255.5,41.025373,0.741014,0.059331,0.060774,0.041667,0.070204,0.176472,0.165412,0.05042,0.090625,0.054328,0.069314,0.047873,0.131851,0.194397,0.108281,0.069149,0.066372,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,0.958409,0.96474,0.301568,0.504727,0.002295,0.072472,0.000047,-0.000914,0.000024,0.010297,0.29804,0.633523,25.578217,10.706974,54.5,103.5,49,75,2382,293.5,38.146664,0.628562,0.045364,0.01673,0.043734,0.068888,0.06828,0.067019,0.080572,0.027272,0.033661,0.035107,0.06376,0.131505,0.08291,0.085617,0.071273,0.078316,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,0.939804,0.919715,0.58451,0.436539,0.000681,0.06183,-0.000003,0.005345,0.000002,0.009612,0.592157,0.231618,27.558953,16.116895,136,160,26.5,101,2080,268.5,39.758156,0.629493,0.110361,0.04419,0.011811,0.023137,0.178184,0.10564,0.018221,0.094841,0.058827,0.037906,0.0107,0.066533,0.208208,0.04698,0.004416,0.068695,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
82,0.966321,0.95289,0.726869,0.516242,0.009079,0.067153,0.000351,0.002843,0.00039,0.009948,0.713726,0.398766,26.179963,11.496593,168,200,83.5,95.5,6247.5,756,89.911398,0.647406,0.219626,0.078767,0.07526,0.045563,0.051318,0.07493,0.03937,0.051181,0.102777,0.079729,0.05158,0.081236,0.041775,0.038002,0.122807,0.117525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.933614,0.994201,0.458315,0.459851,0.000317,0.064571,0,0.001981,0,0.008298,0.458824,0.449198,30.989738,20.953701,106,128,22,188,3606,431,51.51442,0.871857,0.00153,0.002294,0.003442,0.037859,0.3587,0.034799,0.003059,0.002294,0.001147,0.002677,0.003824,0.093308,0.367878,0.072275,0.013002,0.001912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,0.942616,0.994435,0.455123,0.438936,0.000407,0.061138,0,0.00372,0,0.007778,0.454902,0.287129,39.151325,29.520168,102,129,27,203,4672,472,47.684933,0.852399,0.002708,0.00352,0.005145,0.043867,0.32169,0.052803,0.007311,0.001354,0.001895,0.002166,0.008665,0.080422,0.379908,0.064988,0.019496,0.004062,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,0.985442,0.976831,0.674682,0.492238,0.008656,0.048804,0.000092,-0.000829,0.000119,0.00593,0.637255,0.482935,27.620321,13.793511,132,214.5,82.5,57,2464,302,37.349532,0.524013,0.11911,0.069228,0.048197,0.032054,0.074252,0.070184,0.082406,0.048849,0.041575,0.033418,0.031499,0.077452,0.1163,0.030135,0.03629,0.089054,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
