@relation miml_birds.arff_minimax_transformation

@attribute id {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282}
@attribute min_f1 numeric
@attribute min_f2 numeric
@attribute min_f3 numeric
@attribute min_f4 numeric
@attribute min_f5 numeric
@attribute min_f6 numeric
@attribute min_f7 numeric
@attribute min_f8 numeric
@attribute min_f9 numeric
@attribute min_f10 numeric
@attribute min_f11 numeric
@attribute min_f12 numeric
@attribute min_f13 numeric
@attribute min_f14 numeric
@attribute min_f15 numeric
@attribute min_f16 numeric
@attribute min_f17 numeric
@attribute min_f18 numeric
@attribute min_f19 numeric
@attribute min_f20 numeric
@attribute min_f21 numeric
@attribute min_f22 numeric
@attribute min_f23 numeric
@attribute min_f24 numeric
@attribute min_f25 numeric
@attribute min_f26 numeric
@attribute min_f27 numeric
@attribute min_f28 numeric
@attribute min_f29 numeric
@attribute min_f30 numeric
@attribute min_f31 numeric
@attribute min_f32 numeric
@attribute min_f33 numeric
@attribute min_f34 numeric
@attribute min_f35 numeric
@attribute min_f36 numeric
@attribute min_f37 numeric
@attribute min_f38 numeric
@attribute max_f1 numeric
@attribute max_f2 numeric
@attribute max_f3 numeric
@attribute max_f4 numeric
@attribute max_f5 numeric
@attribute max_f6 numeric
@attribute max_f7 numeric
@attribute max_f8 numeric
@attribute max_f9 numeric
@attribute max_f10 numeric
@attribute max_f11 numeric
@attribute max_f12 numeric
@attribute max_f13 numeric
@attribute max_f14 numeric
@attribute max_f15 numeric
@attribute max_f16 numeric
@attribute max_f17 numeric
@attribute max_f18 numeric
@attribute max_f19 numeric
@attribute max_f20 numeric
@attribute max_f21 numeric
@attribute max_f22 numeric
@attribute max_f23 numeric
@attribute max_f24 numeric
@attribute max_f25 numeric
@attribute max_f26 numeric
@attribute max_f27 numeric
@attribute max_f28 numeric
@attribute max_f29 numeric
@attribute max_f30 numeric
@attribute max_f31 numeric
@attribute max_f32 numeric
@attribute max_f33 numeric
@attribute max_f34 numeric
@attribute max_f35 numeric
@attribute max_f36 numeric
@attribute max_f37 numeric
@attribute max_f38 numeric
@attribute BRCR {0,1}
@attribute PAWR {0,1}
@attribute PSFL {0,1}
@attribute RBNU {0,1}
@attribute DEJU {0,1}
@attribute OSFL {0,1}
@attribute HETH {0,1}
@attribute CBCH {0,1}
@attribute VATH {0,1}
@attribute HEWA {0,1}
@attribute SWTH {0,1}
@attribute HAFL {0,1}
@attribute WETA {0,1}
@attribute BHGB {0,1}
@attribute GCKI {0,1}
@attribute WAVI {0,1}
@attribute MGWA {0,1}
@attribute STJA {0,1}
@attribute CONI {0,1}

@data
22,0.912582,0.943578,0.299613,0.454577,0.000151,0.070557,-0.000002,-0.002214,0,0.01018,0.301961,0.136364,22.345566,8.869217,64,87,14,19,266,65,14.98471,0.717349,0.013889,0.00463,0,0.010471,0.031348,0.096774,0,0.009259,0.013889,0.005236,0,0,0.01875,0.05625,0,0.00463,0.95467,0.965303,0.421389,0.522645,0.000659,0.07767,0.000009,0.003431,0.000001,0.011659,0.423529,0.777778,26.558296,16.292866,99,121,27,30,446,91,19.834808,0.947826,0.04375,0.026178,0.01875,0.08871,0.319444,0.266458,0.144201,0.024194,0.0625,0.03125,0.04375,0.151832,0.226852,0.201613,0.203762,0.0875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,0.950868,0.884184,0.344586,0.553326,0.000698,0.062955,-0.000013,-0.008885,0.000001,0.008327,0.356863,0.461538,24.753695,12.373036,73,98,24,10,160,56,19.6,0.604167,0.073529,0.014706,0.022059,0.029412,0.016807,0.033613,0,0.042017,0.058824,0.022059,0,0,0.02521,0.05042,0.042017,0.033613,0.955271,0.916443,0.386329,0.608024,0.000711,0.075585,0.000001,-0.000024,0.000001,0.012798,0.356863,0.777778,26.206249,12.38199,87,111,25,14,203,65,20.812807,0.64,0.092437,0.092437,0.201681,0.05042,0.029412,0.058824,0.058824,0.176471,0.095588,0.05042,0.084034,0.12605,0.044118,0.058824,0.088235,0.227941,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,0.955054,0.922307,0.896173,0.390449,0.000584,0.064278,-0.000089,-0.002033,0.000001,0.009075,0.933333,0.205128,24.732075,8.00471,189,248,23,14,265,64,10.209375,0.667828,0.066038,0.066038,0.036437,0.010796,0.020243,0.066038,0,0.018868,0.060729,0.009434,0.010776,0.009698,0.072198,0.007543,0.001078,0.018868,0.98278,0.990901,0.929914,0.528697,0.004201,0.078693,-0.000001,0.007007,0.000037,0.011235,0.980392,0.769231,31.59433,13.059088,225,255,66,139,5941,365,22.424677,0.84348,0.225216,0.136853,0.188679,0.066038,0.059077,0.130904,0.096615,0.079741,0.150943,0.048,0.037736,0.056604,0.122642,0.037736,0.066038,0.077538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0.969833,0.963852,0.508046,0.478866,0.001301,0.072878,-0.000013,-0.00347,0.000004,0.009953,0.494118,0.2,23.669527,7.527601,105,149,38,29,699,121,18.522339,0.634301,0.049505,0.026525,0.06366,0.049505,0.066313,0.024752,0,0.002653,0.050398,0.090186,0.079208,0.082228,0.015915,0.013263,0.015915,0.00495,0.975542,0.970022,0.516055,0.529472,0.001898,0.080258,0.000005,0.003501,0.000008,0.011681,0.533333,0.785714,26.751421,10.395665,111,154,49,36,1231,151,20.945637,0.697846,0.177719,0.079208,0.168317,0.068966,0.074257,0.026525,0,0.009901,0.064356,0.163366,0.196286,0.138614,0.019802,0.024752,0.049505,0.103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0.977082,0.974526,0.405028,0.484568,0.002405,0.0587,-0.000017,0.000576,0.000011,0.006801,0.396078,0.351852,31.482418,10.792445,69,139,50,44,1621,275,26.240458,0.736818,0.063158,0.077193,0.046305,0.033498,0.05614,0.030542,0.017734,0.06601,0.125123,0.059649,0.026316,0.084211,0.054187,0.036453,0.023645,0.04386,0.982253,0.979193,0.8857,0.496445,0.003637,0.070643,0.00001,0.00365,0.000028,0.009907,0.917647,0.372093,39.042679,17.032162,200,250,70,55,2882,306,57.764343,0.748571,0.107389,0.101478,0.080702,0.040351,0.069951,0.050877,0.036842,0.089474,0.129825,0.084729,0.036453,0.097537,0.073684,0.05614,0.031579,0.068966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,0.94655,0.904882,0.30233,0.44503,0.000422,0.062473,-0.000138,-0.005391,0,0.008633,0.278431,0.377778,23.326315,7.44889,53,99,20,12,190,52,13.649025,0.366613,0.046875,0.015625,0.014881,0.028274,0.003731,0.007463,0,0.011194,0.047619,0.023438,0.010417,0.020833,0.016064,0.019011,0.028112,0.026119,0.986022,0.990455,0.562879,0.574932,0.008879,0.076491,0.000084,0.003654,0.000129,0.011321,0.556863,0.891304,25.82943,12.137668,133,156,81,117,3157,516,84.338295,0.854762,0.127976,0.135135,0.176707,0.078358,0.109375,0.12272,0.092262,0.13244,0.148649,0.182836,0.192771,0.085938,0.059524,0.109375,0.079602,0.19494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29,0.932708,0.957209,0.312385,0.389148,0.000269,0.047635,-0.001535,-0.00322,0,0.005689,0.286275,0.16129,24.18679,8.64882,50,116,16,29,363,78,16.76033,0.371435,0.075294,0.035963,0.025522,0.02148,0.022177,0.030242,0.047059,0.004706,0.014815,0.027049,0.007407,0.014815,0.019722,0.007407,0.007407,0,0.988054,0.993677,0.974503,0.544217,0.013804,0.071826,0.000161,0.009374,0.000594,0.011202,0.980392,0.671233,32.404243,14.905931,239,255,133,217,10720,1046,102.063057,0.776963,0.194113,0.15006,0.133333,0.133333,0.101176,0.059666,0.17037,0.104408,0.165597,0.112941,0.087635,0.072581,0.133333,0.059211,0.059165,0.150812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0.967088,0.96307,0.512497,0.487311,0.001116,0.073541,-0.00001,-0.006881,0.000003,0.010489,0.509804,0.575758,24.39403,8.626728,111,146,35,30,670,116,20.083582,0.638095,0.048035,0.034934,0.092937,0.085502,0.052402,0.018587,0,0.003717,0.039301,0.030568,0.104089,0.104089,0.048327,0.066914,0,0.008734,0.968021,0.969315,0.512524,0.561457,0.001123,0.073979,0,0.000482,0.000003,0.011125,0.513726,0.724138,24.796738,9.878814,113,148,35,34,797,127,20.237139,0.669748,0.078067,0.115242,0.10917,0.122271,0.085502,0.034934,0.021834,0.004367,0.05948,0.122677,0.257642,0.104803,0.056769,0.074236,0,0.01487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0.896901,0.920349,0.221594,0.464361,0.000115,0.048558,-0.001195,-0.010701,0,0.005155,0.223529,0.341207,22.1106,8.167279,44,63,11,16,217,52,9.990244,0.389692,0.016304,0,0.020979,0.039841,0.035857,0.020979,0,0.016304,0.020979,0,0,0.01992,0.011952,0.007968,0,0,0.993027,0.996786,0.949193,0.60566,0.035743,0.08418,0.003029,0.004543,0.002581,0.014085,0.988235,0.903226,35.856953,21.522148,226,255,186,382,33947,1812,174.897141,0.948718,0.211155,0.167331,0.050833,0.223776,0.279221,0.141304,0.066474,0.083665,0.203187,0.052866,0.061938,0.146853,0.237762,0.11039,0.090909,0.087511,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0.916301,0.918296,0.583802,0.474122,0.000167,0.065085,-0.00007,-0.002312,0,0.008983,0.607843,0.2,22.406977,7.351161,108,163,14,14,258,64,15.875969,0.531408,0.025478,0.019108,0,0.012146,0.010121,0.017206,0,0.012739,0.019108,0.012739,0,0.03876,0.015504,0.015504,0,0.006369,0.983971,0.986555,0.611359,0.502614,0.004969,0.080012,0.000003,0.003297,0.000048,0.012139,0.670588,0.712644,23.428152,9.839859,149,180,72,88,3367,573,97.513809,0.877551,0.20749,0.076923,0.064777,0.152866,0.178344,0.082803,0.07996,0.100775,0.20155,0.077935,0.046512,0.229299,0.210191,0.050955,0.038462,0.255814,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,0.935261,0.921906,0.281724,0.435213,0.000298,0.046826,-0.000236,-0.004001,0,0.004963,0.294118,0.185185,22.494383,7.334205,63,81,18,14,210,54,13.885715,0.494444,0.037815,0.016807,0.008403,0.011321,0.00692,0.013841,0,0.013937,0.016317,0.004425,0,0.011321,0.008787,0.015094,0.017301,0.002695,0.987142,0.975979,0.48345,0.539575,0.008869,0.078043,0.000071,0.007013,0.000168,0.011299,0.45098,0.852941,29.758232,14.538312,98,164,94,48,2410,317,54.533085,0.833333,0.224913,0.23913,0.080863,0.113445,0.151261,0.160839,0.096661,0.103659,0.124528,0.135889,0.234501,0.186916,0.218487,0.072289,0.083333,0.143805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,0.963622,0.907873,0.454773,0.409368,0.000897,0.061411,-0.000007,-0.011319,0.000002,0.007563,0.447059,0.272727,22.97965,7.20805,90,131,30,12,313,74,17.470953,0.458667,0.067114,0.00813,0,0,0.033413,0.018913,0,0.019027,0.037825,0.013423,0.026005,0.031026,0.020934,0,0,0.013423,0.981433,0.96884,0.496946,0.597538,0.003383,0.079298,0.000002,0.007741,0.000023,0.013575,0.52549,0.791667,28.871969,13.205942,112,153,61,36,1773,176,27.918604,0.841398,0.203252,0.181208,0.07565,0.154362,0.089835,0.033413,0.154472,0.105691,0.105691,0.160756,0.161074,0.127517,0.089431,0.042553,0.061311,0.120507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0.900591,0.924198,0.325213,0.432778,0.000135,0.065759,-0.000064,-0.002502,0,0.008546,0.345098,0.153846,21.814816,8.840242,68,93,12,14,178,54,13.5,0.333333,0.007059,0,0,0,0.008696,0,0,0.007059,0.009412,0.004706,0,0,0.056075,0,0,0.004706,0.973805,0.978154,0.510931,0.534027,0.003402,0.09215,0.000001,0.008543,0.000019,0.015083,0.517647,0.5,28.533709,16.738419,124,143,54,52,1039,214,60.011906,0.947368,0.078261,0.103118,0.046957,0.127059,0.365079,0.243478,0.119904,0.071942,0.057554,0.037383,0.196262,0.168224,0.383529,0.246032,0.098321,0.232227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38,0.940351,0.945321,0.786426,0.464429,0.000324,0.069587,-0.000134,0.000601,0,0.00965,0.788235,0.263158,26.503401,9.841171,181,210,18,20,294,67,15.268707,0.471495,0.032051,0.051282,0.031847,0.038217,0.033121,0.076923,0,0.012821,0.064103,0.019231,0.033121,0.050955,0.038462,0.02293,0.026752,0.032051,0.982037,0.981161,0.897198,0.511159,0.004549,0.070323,0,0.003647,0.000047,0.009782,0.976471,0.571429,26.634573,10.145681,192,255,74,64,2233,397,70.581726,0.816667,0.11465,0.123567,0.102564,0.121795,0.076923,0.082803,0.054777,0.075159,0.082803,0.090446,0.038462,0.24359,0.066242,0.032051,0.057692,0.072611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0.941046,0.932202,0.450054,0.314166,0.000332,0.033528,0.000001,0.00299,0,0.004234,0.435294,0.2,27.73913,9.762918,63,126,20,16,230,73,22.397243,0.504232,0.046729,0,0.029859,0.021164,0.028976,0.047619,0.028037,0.009346,0.065995,0.046729,0.056075,0.009346,0.020635,0.022222,0.024339,0.028037,0.991327,0.979057,0.541871,0.473427,0.029481,0.082134,0.005213,0.006905,0.002796,0.012475,0.47451,0.432432,60.950882,33.614811,106,255,192,80,7745,568,45.034058,0.773151,0.174713,0.080013,0.093458,0.102804,0.186916,0.076338,0.073545,0.066761,0.084112,0.130159,0.081481,0.056085,0.158879,0.037383,0.03831,0.094648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,0.93231,0.97706,0.854077,0.454667,0.00026,0.070471,0,-0.001119,0,0.009704,0.854902,0.148936,23.256027,10.791388,205,230,19,47,848,132,19.531151,0.789167,0.014706,0.007353,0.031863,0.023529,0.133212,0.080292,0.002451,0.004902,0.007299,0.001825,0,0.164706,0.153285,0.023529,0.014599,0.004902,0.948936,0.98143,0.912834,0.498552,0.000442,0.084644,0,0.0063,0,0.011902,0.905882,0.649123,26.034847,11.962275,224,243,25,58,947,167,32.019516,0.820116,0.02549,0.052941,0.052941,0.15146,0.254902,0.107843,0.020073,0.005882,0.012255,0.005882,0.002451,0.315693,0.235294,0.063725,0.041667,0.054902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0.927882,0.84468,0.554587,0.356384,0.000267,0.041813,-0.000162,-0.008961,0,0.005435,0.556863,0.307692,23.091494,7.470305,125,150,21,8,246,97,19.976645,0.439286,0.011834,0.029586,0.00905,0,0,0,0,0.005208,0.008876,0,0,0,0,0,0.005208,0.005917,0.988373,0.977748,0.916682,0.673591,0.009253,0.105637,0.000277,0.008342,0.000174,0.017414,0.917647,0.924528,33.918697,20.986673,210,254,97,54,1419,284,63.738949,0.802835,0.359375,0.144654,0.093645,0.083612,0.207101,0.121302,0.089431,0.176101,0.442708,0.146341,0.132075,0.144893,0.224852,0.115385,0.082051,0.176471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
